company_name,website,logo_url,description,info_2,info_3,product_categories_
ADICOMP INDIA PVT. LTD.,http://www.adicomp.com,assets/images/exhibitor-directory/1759250552_logo1759250573_1759250552_logo.jpg,"Adicomp is an Italian company with operations in the United States, Brazil, and India, specializing in gas compression and treatment. With over 25 years of experience and more than 10,000 skids in operation worldwide, Adicomp designs and manufactures compressor packages for biogas, biomethane, natural gas, and other applications. Its success is built on highly skilled designers, innovative solutions, cutting-edge technologies, and a production process capable of meeting diverse market needs. Adicomp is part of Ingersoll Rand, a partnership founded on shared values and a strategic vision focused on innovation and development in the energy sector.",India,www.adicomp.com,"Cogeneration > Equipment suppliers and service providers, Cogeneration > Consultants , other, Bio Gas and Carbon Capture"
ADM SOLAR POWER & INFRASTRUCTURE PVT LTD,http://www.orientsolar.com/,assets/images/exhibitor-directory/dummy.png,"Orient solar is owned and managed by top industry professionals with immense experience in mechanical and electrical engineering, bringing over 70 years of experience in the same. Orient was founded on the principles of bringing the power of renewable energy to the average population at an affordable price through a strong belief in local manufacturing and expertise. With this goal in mind, Orient boasts one of the largest fully automated panel manufacturing capacities and is one of the leading panel suppliers in the country. This includes M-10, M-6 and the most cutting-edge panels available in the market today.",India,www.orientsolar.com/,"Solar Energy > Manufacturers of cell and module encapsulation, crystal growth equipments, diffusion furnaces, laminators, mounting systems, concentrators, trackers and collectors , Solar Energy > Wire saws and consumables , Solar Energy > Silicon feedstock, ingot and wafer manufacturing , Solar Energy > Inverters, charge controllers, batteries and module connectors , Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , Solar Energy > Solar cells manufacturers , Solar Energy > Suppliers of raw materials , Solar Energy > Annual maintenance contractors , Solar Energy > Emission monitoring systems , Solar Energy > Solar street and billboard lighting systems"
ADYANI PLAST LIMITED,http://www.adyanigroup.com,assets/images/exhibitor-directory/dummy.png,"Adyani is a trusted one-stop BOS (Balance of System) solution provider, offering complete support for solar projects of any scale-from residential rooftops to large-scale utility installations. With a strong focus on quality and reliability, Adyani specializes in the manufacturing of ACDB & DCDB, which are essential for ensuring safety, efficiency, and seamless power management in solar systems. The company also produces a wide range of durable mounting structures using GP, Galvalume, and HDGI materials, tailored to withstand varied environmental conditions while maintaining structural integrity. Adyani delivers end-to-end BOS solutions that streamline installation support the long-term success of solar energy projects.",India,www.adyanigroup.com,"Solar Energy > Suppliers of raw materials , Solar Energy > System integrators, assemblers and distributors , Solar Energy > Turnkey solution providers"
Aegeus Technologies Limited,http://aegeustechnologies.com,assets/images/exhibitor-directory/1759814580_logoaegeus1759815110_1759814580_logoaegeus.jpg,"Aegeus Technologies is a leading innovator in robotic solar panel cleaning and O&M automation. Our waterless, AI-enabled solutions maximize plant efficiency, reduce operational costs, and conserve water, making solar energy more sustainable and profitable. From large-scale utility plants to rooftop systems, our advanced robotics, predictive analytics, and IoT-driven platforms deliver reliable, scalable, and environmentally responsible performance. With growing global presence and a commitment to innovation, Aegeus empowers solar asset owners to achieve higher yields and longer asset lifecycles. Discover how our intelligent automation is redefining the future of solar operations and maintenance.",India,aegeustechnologies.com,Solar Energy > Turnkey solution providers
Aeron Composite Limited,http://www.aeroncomposite.com,assets/images/exhibitor-directory/dummy.png,"Aeron Composite is largest manufacturer of FRP Products, specializing in FRP Gratings, FRP Cable Trays, FRP Handrails, FRP Staircase, FRP Odor Control Covers / Tank Covers, FRP Baffles and Partition walls, FRP Weirs, FRP Launder Cover, FRP Troughs, FRP Media Support for aeration tanks, FRP Ladders, FRP Canopy, tailored for the water, sewage & waste treatment & desalination industry. Aeron FRP Products are corrosion resistant, chemical resistant, strong yet lightweight, UV resistant, non-conductive, weather resistant.",India,www.aeroncomposite.com,"Solar Energy > Suppliers of raw materials , Solar Energy > Glass, substrates, coatings, resins, encapsulation materials, films, gasses , Wind Energy > Electrical and electronics items manufacturers , Cogeneration > Equipment suppliers and service providers, other, Solar rooftop & ground mount components manufacturer and supplier"
Aeron Systems Pvt Ltd.,http://www.aeronsystems.com,assets/images/exhibitor-directory/dummy.png,"Aeron Systems, established in 2008, is a dynamic deep-tech innovator dedicated to developing cutting-edge solutions that address evolving challenges faced by global clients. Our dual business sectors—Inertial Navigation Systems (INS) and Internet of Things (IoT)—allow us to cater to various industries such as aerospace, automotive, defense, environment, and renewable energy.We have supplied WMS to more than 40GW+ solar power plants. Attached is the project reference list & our company profile for your better understanding of the offerings. We are also working in the Middle East and SEA Region with Companies like Larsen & Toubro,Elsewedy,Alfanar,Engie,Ar-rass and many more .",India,www.aeronsystems.com,"Solar Energy > Emission monitoring systems , Solar Energy > Electrical test and measuring systems , Wind Energy > Electrical and electronics items manufacturers , Wind Energy > Wind monitoring and analysis systems suppliers , Cogeneration > Equipment suppliers and service providers, other, Weather Monitoring systems for Solar power plant"
AGRO HARDWARE INDUSTRIES PRIVATE LIMITED,http://agrohardware.com,assets/images/exhibitor-directory/dummy.png,"Founded in 1986, Agro Hardware has earned recognition as a trusted name in plastic manufacturing. While it began with an agricultural focus, the company has steadily diversified, serving leading clients such as Pidilite Industries, Frontier Polymers, and Golden Chemicals. Today, Agro Hardware is entering the renewable energy space with its groundbreaking solar walkway, a first-of-its-kind innovation in India. Designed to combine sustainability with practicality, this unique solution reflects the company’s forward-thinking approach. With a legacy of quality and adaptability, Agro Hardware continues to shape industries and set benchmarks for innovation.",India,agrohardware.com,"Solar Energy > Solar farm developers and owners , other, Solar Walkway Manufacturer"
AGROTEL CENO TEC GmbH (Ecosanitaz Green Solutions Pvt. Ltd),http://WWW.AGROTEL.EU,assets/images/exhibitor-directory/1759217268_agrotel-ceno-tec-transparent1759221530_1759217268_agrotel-ceno-tec-transparent.png,AGROTEL's PROGILE ATTACHED SEPARATELY,Germany,WWW.AGROTEL.EU,"Cogeneration > Consultants , other, Double Membrane Bio-Gas Storage Systems"
Airtouch Solar India PVT LTD,http://airtouchsolar.com/,assets/images/exhibitor-directory/1760004322_airtouchlogo1760004367_1760004322_airtouchlogo.png,"Airtouch Solar is a Tel Aviv Stock Exchange (TASE ARTS) listed leading waterless robotic cleaning solution company founded in 2017. Airtouch has state of the art manufacturing facilities in India and Israel with a production capacity of around 10 GW per year and more than 2 GW installed in Israel, India, Middle East and Americas. With patented wind blowing technology and best in class solar panel safety test result from PI Berlin, the robots are well suited for India. Airtouch solar provides solutions for fixed tilt and tracker-based systems using autonomous and semi-autonomous robots.",India,airtouchsolar.com/,"Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments"
AJAY INDUSTRIAL CORPORATION LIMITED,http://WWW.AJAYINDUSTRIAL.COM,assets/images/exhibitor-directory/dummy.png,"Ajay Industrial Corporation Limited, established in 1961, is an Indian manufacturer specializing in Cable Management Systems, Solar Structures, and Water Management Solutions. Renowned for quality and innovation, AICL has received multiple National Export Excellence Awards from the Ministry of Commerce. We have our offices in Kenya, Uganda, Zambia, South Sudan, Cameroon, Nigeria, DR Congo, Tanzania and Dubai. Our product range includes Cable Trays, Raceway Systems, Junction Boxes, Solar Mounting Structures, GI Strip and Copper Strip, Earth Electrodes, and custom fabrications. We proudly supply to top companies like TATA, ABB, L&T, and government bodies such as NTPC, NHPC, and NDRF.",India,WWW.AJAYINDUSTRIAL.COM,"Solar Energy > Inverters, charge controllers, batteries and module connectors , Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , Solar Energy > Solar water heating/cooling systems and solar pumps Testing, monitoring systems, project consultants, suppliers of building integrated photovoltaic (BIPV) and solar thermal engineering, Solar Energy > Turnkey solution providers , Solar Energy > Solar farm developers and owners , Solar Energy > Solar street and billboard lighting systems"
Alfa Laval,http://www.alfalaval.in,assets/images/exhibitor-directory/1761219247_allogo1761219258_1761219247_allogo.png,"Alfa Laval is a global leader in heat transfer, separation, and fluid handling solutions, operating in 100+ countries with 140 years of innovation. It serves various key sectors like Biofuels, Energy, Pharma, Food, Marine, and Wastewater. It is listed on the Stockholm Stock Exchange with reported sales of SEK 66.9 billion (6 BEUR) in 2024. In India, Alfa Laval has been active since 1937 and is headquartered in Pune. Alfa Laval’s advanced separation and heat transfer technologies support every stage of the biogas production from pre-treatment to post-treatment.
Together, we Pioneer a Positive Impact.",India,www.alfalaval.in,"other, Separation Technology"
ALISHAN GREEN PVT. LTD.,http://www.alishangreenenergy.com/,assets/images/exhibitor-directory/dummy.png,"Alishan Green Energy, part of the Alishan Group, is India’s largest independent manufacturer of Encapsulants and Backsheets. With 4.2 GW encapsulant capacity, soon expanding to 6.6 GW, and 3 GW Backsheet capacity including white, black and transparent Backsheets. Backed by NABL accredited lab, all Alishan products are IEC and UL certified. With innovations like Low Acid EVA, EPE NT and EPE DC this year, We support today’s latest solar cell technologies.",India,www.alishangreenenergy.com/,"Solar Energy > Suppliers of raw materials , Solar Energy > Glass, substrates, coatings, resins, encapsulation materials, films, gasses"
Alpex Solar Limited,http://www.alpexsolar.com,assets/images/exhibitor-directory/1758977373_logo1758977649_1758977373_logo.png,"Alpex Solar, headquartered in Greater Noida, is a fast-growing solar manufacturer spearheading India’s clean energy transition. The company is rapidly expanding with five new facilities under development across Greater Noida, Kosi-Kotwan (UP), and Madhya Pradesh. Its Kosi-Kotwan facility is progressing at pace, with Phase 1 of a 1.6 GW solar cell project (500 MW by FY26) and a 12,000-ton aluminum frame plant nearing commissioning. By FY27, Alpex aims to triple its module capacity from 1.2 GW to 3.6 GW, reinforcing its position as a trusted partner in meeting India’s surging solar demand. Its subsidiary, Alpex Green Energies Private Limited (AGEPL),",India,www.alpexsolar.com,"Solar Energy > Manufacturers of cell and module encapsulation, crystal growth equipments, diffusion furnaces, laminators, mounting systems, concentrators, trackers and collectors , Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , Solar Energy > Solar cells manufacturers , Solar Energy > System integrators, assemblers and distributors , Solar Energy > Turnkey solution providers , Solar Energy > Annual maintenance contractors , Cogeneration > Complete plant solution providers , Cogeneration > Project developers"
Alsmiths Renewables Pvt. Ltd.,http://www.alsmiths.com,assets/images/exhibitor-directory/1760424401_10000391291760684236_1760424401_1000039129.jpg,"Manufacturer of quality aluminium frames for Solar PV modules and aluminium extruded profiles for solar module mounting structures.
Having in-house infrastructure facilities for manufacturing of 1500 MT of aluminium extrusions , sand blasting,  anodizing, most modern automatic aluminium frames fabrication machines and team of technical  experts, Alsmiths Renewables are capable of catering the customized requirement of the potential buyers of aluminium frames and aluminium extruded profiles for mounting structures.
For enquiry please get in touch with Mr. Manab Mazumder, Vice- President (Marketing) by email at[email protected]or whatsApp at +91 8981005611.",India,www.alsmiths.com,"Solar Energy > Manufacturers of cell and module encapsulation, crystal growth equipments, diffusion furnaces, laminators, mounting systems, concentrators, trackers and collectors , Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , Solar Energy > Solar water heating/cooling systems and solar pumps Testing, monitoring systems, project consultants, suppliers of building integrated photovoltaic (BIPV) and solar thermal engineering, Solar Energy > Turnkey solution providers , Solar Energy > Solar farm developers and owners , Solar Energy > Electrical test and measuring systems , Solar Energy > Solar street and billboard lighting systems, ENERGY EFFICIENCY > Energy efficient equipments for power generation, transmission and distribution , ENERGY EFFICIENCY > Industrial and decorative lighting equipment, luminaries, fixtures and accessories, ENERGY EFFICIENCY > Manufacturers of motors and pumps , ENERGY EFFICIENCY > Manufacturers of LED and charge controllers"
Amaze,http://www.amaze-india.com,assets/images/exhibitor-directory/1759225931_amazesolarlogo2025white1759226108_1759225931_amazesolarlogo2025white.png,"Amaze is one of the youngest and fastest-growing energy solutions brands in India. Established in 2018, it is a product of Luminous Power Technologies. The brand offers a wide range of inverters, batteries, and solar products designed to deliver reliable performance even during long and frequent power cuts.

 

With a strong focus on high performance, durability, and quality, Amaze aims to provide dependable power backup solutions to households and businesses alike. Supported by an extensive network of distributors and dealers across the globe, Amaze is steadily building its reputation as a trusted name in the energy solutions sector.",India,www.amaze-india.com,"Solar Energy > Inverters, charge controllers, batteries and module connectors , Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , Solar Energy > System integrators, assemblers and distributors , Solar Energy > Solar farm developers and owners , Wind Energy > Electrical and electronics items manufacturers , ENERGY EFFICIENCY > Energy efficient equipments for power generation, transmission and distribution"
AMI POLYMER PVT. LTD.,http://www.amipolymer.com,assets/images/exhibitor-directory/dummy.png,"Since 1998, APPL is in the business of Silicone Elastomeric products and also, other Polymeric components which ultimately provide solutions to Fluid Transfers, Sealing, and Contamination controls for Biopharma, Pharma, Medical, Laboratory, Food, Beverages, and Engineering sectors worldwide. APPL is having ISO Class VII and ISO Class VIII Cleanroom facilities certified with ISO 9001:2015, ISO 14001:2015, ISO 45001:2018, ISO 27001:2013, ISO 13485:2016. We also have a BPOG extractables program for our products for regulatory markets worldwide. The company believes in “Be in business with ethics” and assure Quick Development, Fastest Delivery, Ultimate Quality and also very Competitive Rates.",India,www.amipolymer.com,"other, PHARMA, BIO PHARMA, DEFENCE, RENEWABLE."
AMPHENOL INDUSTRIAL PRODUCTS INDIA PVT. LTD.,http://amphenol-industrial.com/,assets/images/exhibitor-directory/dummy.png,"Amphenol Corporation is a leading manufacturer of interconnect solutions in the world. Amphenol Industrial Products, a subsidiary of Amphenol Corporation, is based out of Chennai. We manufacture connectors and cable assemblies for solar energy, energy storage and electric vehicles. Our marquee products are H4 pro solar DC connector and Surlok Plus connector for energy storage. We also manufacture a wide range of circular connectors for signal transmission as well.",India,amphenol-industrial.com/,"Solar Energy > Inverters, charge controllers, batteries and module connectors"
AMRUT ENERGY PRIVATE LIMITED,http://www.amrutenergy.com,assets/images/exhibitor-directory/1759229045_15283740627841759229240_1759229045_1528374062784.jpg,"Amrut Energy, established in 2014, epitomizes the vanguard of solar technology, pioneering advancements that illuminate the path to a renewable future. Our ethos is grounded in the belief that solar energy is the cornerstone of sustainable development. Our vision is to empower humanity with sustainable, efficient, and accessible solar energy.",India,www.amrutenergy.com,"Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , ENERGY EFFICIENCY > Manufacturers of motors and pumps , ENERGY EFFICIENCY > Manufacturers of LED and charge controllers"
AMS WorlDWIDE PVT. LTD.,http://amsworldwide.in,assets/images/exhibitor-directory/dummy.png,"AMS Worldwide supplies high-purity specialty gases and delivers turnkey projects for the solar and semiconductor industries. We combine secure global sourcing with owned logistics assets like ton tanks, ISO containers, and gas delivery systems to ensure reliability and compliance. Through exclusive partnerships, including advanced process infrastructure providers, we offer clients a single-window solution — from gas supply to integrated delivery systems. Our focus is on enabling next-generation fabrication, research, and clean energy manufacturing with purity, safety, and scalability at the core.",India,amsworldwide.in,"Solar Energy > System integrators, assemblers and distributors , Solar Energy > Turnkey solution providers , Solar Energy > Annual maintenance contractors"
"ANHUI TONGCHENG NEW ENERGY MATERIALS CO.,LTD",http://www.ahtccl.com,assets/images/exhibitor-directory/1759041393_r762tongcheng-logo1759041523_1759041393_r762tongcheng-logo.jpg,"Professional PV ribbon manufacturer. Both have production plants in China and Batam of Indonesia. Monthly production capacity is more than 2000ton. The major products are tin-coated copper ribbons for Topcon, HJT, BC, PERC solar modules. Supplier of first tier of solar module factories.",China,www.ahtccl.com,"Solar Energy > Wire saws and consumables , Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , other, Interconnect and bus ribbon such as wire ribbon, flat ribbon, bus ribbon, black bus ribbon, low soldering temperature ribbon, light reflection bus ribbon, coppercladaluminum ribbon."
"ANTAI TECHNOLOGY CO., LTD",http://www.antaisolar.com/,assets/images/exhibitor-directory/1759040472_logo1759140890_1759040472_logo.jpg,"Antaisolar, expert in digital intelligent PV mounting system solutions, headquartered in Xiamen, China.            
Established in 2006, Antaisolar has nearly 800 employees, including over 120 dedicated technical specialists, providing global customers with full-material, full-function, full-service solar tracking, racking and BIPV system.
By the end of 2023, Antaisolar has achieved a cumulative PV mounting system shipment of 33.2GW, securing the leading position in the Japanese market, Australia distribution market, Chile distributed market, Mexico, Southeast Asia and other markets.",China,www.antaisolar.com/,"Solar Energy > Manufacturers of cell and module encapsulation, crystal growth equipments, diffusion furnaces, laminators, mounting systems, concentrators, trackers and collectors"
APAR Industries Ltd,http://www.apar.com,assets/images/exhibitor-directory/dummy.png,"APAR Industries Limited stands as one of India's most distinguished industrial conglomerates with a legacy spanning over six decades. Founded in 1958, APAR has evolved into a global powerhouse in specialized cable manufacturing, with complementary strengths in conductors and specialty oils. Our unwavering commitment to quality, innovation, and sustainable practices has positioned us as a preferred partner for critical infrastructure projects worldwide. Cable Manufacturing Excellence At the heart of APAR's operations lies our state-of-the-art cable manufacturing division, where precision engineering meets industrial innovation: - Advanced Manufacturing Facilities: Strategically located modern production plants equipped with cutting-edge technology and automated quality control",India,www.apar.com,"Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , Solar Energy > Turnkey solution providers , Wind Energy > Electrical and electronics items manufacturers , other"
ARAYMOND INDIA Pvt. Ltd,http://www.araymond-energies.com,assets/images/exhibitor-directory/1758868231_araymondlogo-preferred2022hd1758869677_1758868231_araymondlogo-preferred2022hd.png,"ARaymond is a global leader in fastening and assembly solutions, known for innovation, sustainability, and customer-centric engineering. With over 160 years of expertise, the brand serves diverse sectors including automotive, industrial, agriculture, healthcare, and energies. In the energies sector, ARaymond Energies specializes in tool-free, screwless fastening systems for solar photovoltaic installations, wind energy, and other renewable technologies, enabling faster, cost-effective assembly. ARaymond India, headquartered in Pune, plays a vital role in this domain, offering locally manufactured solutions tailored for India’s growing renewable energy market. Its LEED Gold-certified facility reflects a strong commitment to environmental sustainability and energy efficiency.",India,www.araymond-energies.com,"Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , Solar Energy > System integrators, assemblers and distributors , Wind Energy > Electrical and electronics items manufacturers , ENERGY EFFICIENCY > Energy efficient equipments for power generation, transmission and distribution , Cogeneration > Utility planners and organizations , Cogeneration > Equipment suppliers and service providers, other, Fasteners for Solar panels and cable routing"
Arbon Cleantech Private Limited,http://www.arbon.co.in,assets/images/exhibitor-directory/dummy.png,"Arbon Cleantech is a premium Solar PV Junction Box manufacturer in India, operating a 5 GW fully automated JB production facility in Coimbatore, Tamil Nadu (soon expanding to 10 GW), along with in-house QC Lab. 
Arbon's flagship JB model ACT9x Plus is certified by TUV Rheinland as per IEC 62790 and Connectors are 3x certified by TUV Rheinaland, TUV SUD and UL. 
Arbon supplies to Tier-1 module manufacturers in the country and also added in the BOM and BIS Certification of upcoming players. JB model is also the in the approved BOM of NTPC, NHPC, SECI, SJVN, Mahagenco, NLC.",India,www.arbon.co.in,"Solar Energy > Photovoltaic (PV) modules, hybrid systems, materials and equipments , Solar Energy > Suppliers of raw materials , other, Manufacturer of Solar PV Accessories like Junction Box"
Arciplug Ltd,http://arciplug.com/,assets/images/exhibitor-directory/1759205680_arciplug-logo11759206253_1759205680_arciplug-logo1.png,"Arciplug® delivers patented PLUG FLOW High Load Reactors for biogas plants. Our modular multi-feed digesters handle agricultural residues and municipal solid waste without dilution (up to 40% TS). With proven projects in India, China and Europe, Arciplug® offers fast local manufacturing, lower OPEX and scalable renewable energy solutions. We empower communities and industries to turn waste into value – enabling a cleaner, more resilient energy future.",Finland,arciplug.com/,"Bio Energy > Bioreactor, boiler, turbine and turbo-generator manufacturers & consultants, Cogeneration > Project developers , Cogeneration > Equipment suppliers and service providers, Cogeneration > Consultants"
