State,Date,Year,Month,CPI_Rural,CPI_Urban,CPI_Combined,Inflation_Rural,Inflation_Urban,Inflation_Combined
Assam,2021-05-01,2021,5,160.02,166.74,163.38,4.71,5.51,5.11
Assam,2021-06-01,2021,6,161.16,164.68,162.92,5.09,3.81,4.45
Assam,2021-07-01,2021,7,161.28,167.38,164.33,4.79,5.12,4.95
Assam,2021-08-01,2021,8,164.71,166.14,165.43,6.64,3.95,5.29
Assam,2021-09-01,2021,9,161.38,166.99,164.18,4.11,4.09,4.1
Assam,2021-10-01,2021,10,162.8,166.86,164.83,4.66,3.62,4.14
Assam,2021-11-01,2021,11,165.53,170.93,168.23,6.05,5.75,5.9
Assam,2021-12-01,2021,12,165.25,172.96,169.1,5.5,6.61,6.05
Assam,2022-01-01,2022,1,159.18,171.51,165.35,1.27,5.33,3.3
Assam,2022-02-01,2022,2,162.74,170.61,166.68,3.18,4.39,3.78
Assam,2022-03-01,2022,3,168.23,180.08,174.15,6.29,9.78,8.03
Assam,2022-04-01,2022,4,169.13,181.02,175.08,6.49,9.95,8.22
Assam,2022-05-01,2022,5,174.33,180.07,177.2,9.39,8.97,9.18
Assam,2022-06-01,2022,6,176.98,183.1,180.04,10.67,10.41,10.54
Assam,2022-07-01,2022,7,176.56,180.62,178.59,10.03,8.52,9.27
Assam,2022-08-01,2022,8,175.86,182.96,179.41,9.23,9.53,9.38
Assam,2022-09-01,2022,9,174.95,182.79,178.87,8.29,9.04,8.66
Assam,2022-10-01,2022,10,174.51,182.02,178.26,7.65,8.19,7.92
Assam,2022-11-01,2022,11,177.8,190.21,184.01,9.32,12.66,10.99
Assam,2022-12-01,2022,12,179.46,186.29,182.87,9.97,9.94,9.95
Assam,2023-01-01,2023,1,177.87,185.02,181.44,8.63,8.8,8.72
Assam,2023-02-01,2023,2,175.1,186.28,180.69,6.59,9.16,7.88
Assam,2023-03-01,2023,3,179.06,188.44,183.75,8.63,10.04,9.34
Assam,2023-04-01,2023,4,176.58,188.26,182.42,6.78,9.55,8.17
Assam,2023-05-01,2023,5,177.7,188.46,183.08,7.1,9.28,8.19
Assam,2023-06-01,2023,6,184.07,189.44,186.75,10.58,9.47,10.02
Assam,2023-07-01,2023,7,176.18,181.61,178.9,5.49,4.59,5.04
Assam,2023-08-01,2023,8,176.76,178.73,177.75,5.49,2.57,4.03
Assam,2023-09-01,2023,9,176.67,182.07,179.37,5.09,4.13,4.61
Assam,2023-10-01,2023,10,174.06,183.13,178.59,3.21,4.37,3.79
Assam,2023-11-01,2023,11,174.79,186.95,180.87,3.31,6.19,4.75
Assam,2023-12-01,2023,12,176.78,185.86,181.32,4.14,5.21,4.68
Assam,2024-01-01,2024,1,174.01,183.55,178.78,2.19,3.55,2.87
Assam,2024-02-01,2024,2,176.03,183.79,179.91,3.04,3.34,3.19
Assam,2024-03-01,2024,3,179.52,186.09,182.8,4.75,4.28,4.51
Assam,2024-04-01,2024,4,177.35,187.9,182.62,3.16,4.94,4.05
Assam,2024-05-01,2024,5,181.82,187.05,184.43,5.42,4.12,4.77
Assam,2024-06-01,2024,6,183.02,190.6,186.81,5.78,5.74,5.76
Assam,2024-07-01,2024,7,183.27,187.63,185.45,5.59,3.74,4.67
Assam,2024-08-01,2024,8,182.35,189.75,186.05,4.73,4.57,4.65
Assam,2024-09-01,2024,9,183.47,189.14,186.31,5.05,3.89,4.47
Assam,2024-10-01,2024,10,181.94,190.6,186.27,3.85,4.35,4.1
Assam,2024-11-01,2024,11,180.62,194.24,187.43,2.77,5.99,4.38
Assam,2024-12-01,2024,12,182.96,194.78,188.87,3.78,5.94,4.86
Assam,2025-01-01,2025,1,183.97,191.19,187.58,4.03,3.65,3.84
Assam,2025-02-01,2025,2,182.09,193.71,187.9,2.65,4.67,3.66
Assam,2025-03-01,2025,3,184.64,194.53,189.58,3.77,4.78,4.27
Assam,2025-04-01,2025,4,184.75,190.46,187.6,3.51,2.25,2.88
Assam,2025-05-01,2025,5,182.11,193.62,187.87,1.73,3.61,2.67
Assam,2025-06-01,2025,6,188.51,194.3,191.41,4.98,3.65,4.31
Assam,2025-07-01,2025,7,190.2,195.35,192.77,5.6,3.87,4.74
Assam,2025-08-01,2025,8,188.74,197.74,193.24,4.47,4.81,4.64
Assam,2025-09-01,2025,9,190.36,197.42,193.89,5.05,4.31,4.68
Assam,2025-10-01,2025,10,189.6,195.34,192.47,4.32,2.88,3.6
Assam,2025-11-01,2025,11,188.9,200.98,194.94,3.62,5.52,4.57
Assam,2025-12-01,2025,12,189.66,200.06,194.86,3.73,4.71,4.22
Assam,2026-01-01,2026,1,193.19,201.32,197.26,5.34,5.04,5.19
Bihar,2020-01-01,2020,1,145.66,151.24,148.45,4.89,3.49,4.19
Bihar,2020-02-01,2020,2,147.47,152.19,149.83,4.54,5.15,4.85
Bihar,2020-03-01,2020,3,141.32,146.65,143.98,6.56,3.0,4.78
Bihar,2020-04-01,2020,4,142.43,146.14,144.28,4.48,6.6,5.54
Bihar,2020-05-01,2020,5,143.17,146.16,144.66,3.94,5.52,4.73
Bihar,2020-06-01,2020,6,145.7,146.96,146.33,4.38,3.23,3.81
Bihar,2020-07-01,2020,7,149.62,154.04,151.83,3.66,4.23,3.95
Bihar,2020-08-01,2020,8,152.46,153.25,152.86,4.74,3.1,3.92
Bihar,2020-09-01,2020,9,149.41,155.48,152.45,5.27,3.17,4.22
Bihar,2020-10-01,2020,10,149.88,155.26,152.57,6.16,4.27,5.21
Bihar,2020-11-01,2020,11,154.69,163.73,159.21,6.44,3.72,5.08
Bihar,2020-12-01,2020,12,154.35,165.45,159.9,5.77,6.74,6.26
Bihar,2021-01-01,2021,1,154.47,161.02,157.74,6.07,6.89,6.48
Bihar,2021-02-01,2021,2,151.74,156.84,154.29,3.85,3.75,3.8
Bihar,2021-03-01,2021,3,152.68,157.29,154.98,4.14,3.68,3.91
Bihar,2021-04-01,2021,4,153.42,159.23,156.32,4.3,4.59,4.45
Bihar,2021-05-01,2021,5,152.56,159.4,155.98,3.37,4.34,3.86
Bihar,2021-06-01,2021,6,156.33,160.04,158.18,5.58,4.39,4.99
Bihar,2021-07-01,2021,7,156.69,160.42,158.56,5.48,4.28,4.88
Bihar,2021-08-01,2021,8,156.52,160.96,158.74,5.02,4.26,4.64
Bihar,2021-09-01,2021,9,155.36,161.32,158.34,3.9,4.13,4.02
Bihar,2021-10-01,2021,10,155.2,160.9,158.05,3.46,3.51,3.48
Bihar,2021-11-01,2021,11,156.48,165.43,160.96,3.98,6.06,5.02
Bihar,2021-12-01,2021,12,156.79,165.95,161.37,3.85,6.02,4.94
Bihar,2022-01-01,2022,1,157.91,163.4,160.65,4.25,4.04,4.15
Bihar,2022-02-01,2022,2,157.75,164.23,160.99,3.81,4.22,4.01
Bihar,2022-03-01,2022,3,165.23,172.47,168.85,8.39,9.07,8.73
Bihar,2022-04-01,2022,4,163.96,172.81,168.39,7.21,8.92,8.07
Bihar,2022-05-01,2022,5,165.95,174.34,170.15,8.17,9.51,8.84
Bihar,2022-06-01,2022,6,168.32,174.42,171.37,9.37,9.2,9.28
Bihar,2022-07-01,2022,7,169.85,175.0,172.43,10.02,9.19,9.61
Bihar,2022-08-01,2022,8,170.05,175.67,172.86,9.8,9.25,9.52
Bihar,2022-09-01,2022,9,166.44,175.96,171.2,7.13,9.07,8.1
Bihar,2022-10-01,2022,10,167.41,177.0,172.2,7.42,9.35,8.38
Bihar,2022-11-01,2022,11,169.94,181.45,175.69,8.71,11.73,10.22
Bihar,2022-12-01,2022,12,169.11,180.94,175.02,7.84,11.05,9.44
Bihar,2023-01-01,2023,1,169.63,178.97,174.3,7.83,9.48,8.65
Bihar,2023-02-01,2023,2,169.6,178.58,174.09,7.48,8.88,8.18
Bihar,2023-03-01,2023,3,171.8,178.84,175.32,8.55,8.69,8.62
Bihar,2023-04-01,2023,4,169.92,179.97,174.95,7.03,9.02,8.03
Bihar,2023-05-01,2023,5,171.16,181.44,176.3,7.48,9.56,8.52
Bihar,2023-06-01,2023,6,175.9,181.57,178.74,10.12,9.28,9.7
Bihar,2023-07-01,2023,7,170.34,173.66,172.0,6.31,4.18,5.25
Bihar,2023-08-01,2023,8,168.91,173.6,171.25,5.1,3.82,4.46
Bihar,2023-09-01,2023,9,167.13,174.2,170.67,3.68,3.85,3.76
Bihar,2023-10-01,2023,10,166.37,174.46,170.42,2.9,3.67,3.28
Bihar,2023-11-01,2023,11,167.09,179.18,173.13,3.04,6.13,4.58
Bihar,2023-12-01,2023,12,168.31,179.68,174.0,3.47,6.1,4.79
Bihar,2024-01-01,2024,1,168.88,176.44,172.66,3.52,3.86,3.69
Bihar,2024-02-01,2024,2,170.66,176.38,173.52,4.3,3.49,3.9
Bihar,2024-03-01,2024,3,169.47,177.65,173.56,3.27,3.91,3.59
Bihar,2024-04-01,2024,4,169.49,178.21,173.85,2.97,3.92,3.44
Bihar,2024-05-01,2024,5,171.88,179.23,175.55,4.11,4.18,4.15
Bihar,2024-06-01,2024,6,173.94,178.14,176.04,5.05,3.23,4.14
Bihar,2024-07-01,2024,7,174.17,178.61,176.39,4.88,3.18,4.03
Bihar,2024-08-01,2024,8,175.97,180.12,178.05,5.66,3.73,4.7
Bihar,2024-09-01,2024,9,173.29,181.44,177.36,3.75,4.17,3.96
Bihar,2024-10-01,2024,10,172.35,180.77,176.56,2.89,3.47,3.18
Bihar,2024-11-01,2024,11,173.24,185.51,179.37,3.12,5.86,4.49
Bihar,2024-12-01,2024,12,175.97,186.43,181.2,4.44,6.06,5.25
Bihar,2025-01-01,2025,1,174.46,181.37,177.92,3.25,2.87,3.06
Bihar,2025-02-01,2025,2,174.85,182.8,178.82,3.18,3.36,3.27
Bihar,2025-03-01,2025,3,175.83,184.64,180.23,3.46,4.09,3.78
Bihar,2025-04-01,2025,4,177.07,184.24,180.66,3.89,3.56,3.72
Bihar,2025-05-01,2025,5,176.34,185.23,180.78,3.17,3.8,3.48
Bihar,2025-06-01,2025,6,180.8,185.28,183.04,5.48,3.52,4.5
Bihar,2025-07-01,2025,7,179.06,187.25,183.15,4.17,4.3,4.24
Bihar,2025-08-01,2025,8,181.45,185.94,183.7,5.26,3.27,4.26
Bihar,2025-09-01,2025,9,177.4,187.2,182.3,2.62,3.66,3.14
Bihar,2025-10-01,2025,10,179.07,187.52,183.3,3.3,3.53,3.42
Bihar,2025-11-01,2025,11,179.62,191.94,185.78,3.32,5.66,4.49
Bihar,2025-12-01,2025,12,180.5,193.25,186.88,3.54,6.07,4.8
Bihar,2026-01-01,2026,1,181.29,188.93,185.11,3.7,3.39,3.55
Chhattisgarh,2020-01-01,2020,1,157.82,162.43,160.12,3.35,6.2,4.78
Chhattisgarh,2020-02-01,2020,2,158.59,161.93,160.26,3.94,4.25,4.1
Chhattisgarh,2020-03-01,2020,3,152.38,155.93,154.15,5.61,4.18,4.9
Chhattisgarh,2020-04-01,2020,4,154.16,156.58,155.37,6.66,5.3,5.98
Chhattisgarh,2020-05-01,2020,5,154.46,157.63,156.04,3.47,4.75,4.11
Chhattisgarh,2020-06-01,2020,6,156.29,157.66,156.97,3.07,3.99,3.53
Chhattisgarh,2020-07-01,2020,7,161.82,164.99,163.4,5.93,6.18,6.06
Chhattisgarh,2020-08-01,2020,8,161.91,165.72,163.82,3.31,4.83,4.07
Chhattisgarh,2020-09-01,2020,9,160.37,165.73,163.05,3.89,3.07,3.48
Chhattisgarh,2020-10-01,2020,10,160.51,165.72,163.12,3.81,5.33,4.57
Chhattisgarh,2020-11-01,2020,11,165.25,174.96,170.1,6.75,3.83,5.29
Chhattisgarh,2020-12-01,2020,12,165.16,175.23,170.2,3.23,4.48,3.85
Chhattisgarh,2021-01-01,2021,1,165.31,172.26,168.78,5.12,6.16,5.64
Chhattisgarh,2021-02-01,2021,2,163.15,167.58,165.37,3.48,3.01,3.24
Chhattisgarh,2021-03-01,2021,3,162.35,167.83,165.09,2.72,2.88,2.8
Chhattisgarh,2021-04-01,2021,4,162.89,168.97,165.93,2.81,3.3,3.05
Chhattisgarh,2021-05-01,2021,5,162.3,169.92,166.11,2.18,3.61,2.89
Chhattisgarh,2021-06-01,2021,6,166.4,169.49,167.95,4.5,3.07,3.79
Chhattisgarh,2021-07-01,2021,7,167.88,168.8,168.34,5.17,2.39,3.78
Chhattisgarh,2021-08-01,2021,8,168.34,170.19,169.27,5.2,2.96,4.08
Chhattisgarh,2021-09-01,2021,9,165.14,171.72,168.43,2.94,3.61,3.28
Chhattisgarh,2021-10-01,2021,10,166.78,170.71,168.75,3.71,2.73,3.22
Chhattisgarh,2021-11-01,2021,11,165.57,175.71,170.64,2.7,5.47,4.09
Chhattisgarh,2021-12-01,2021,12,165.81,175.99,170.9,2.6,5.36,3.98
Chhattisgarh,2022-01-01,2022,1,166.83,172.48,169.65,2.98,2.99,2.98
Chhattisgarh,2022-02-01,2022,2,167.37,172.45,169.91,3.06,2.71,2.88
