normalized_term,search_events,clicks,click_rate,avg_time_to_click_sec,unique_dest_domains,top_dest_domain,top_dest_clicks,top_dest_share,total_dest_foreground_sec
time in los angeles,4,4,1.0,71.97,1,www.google.com,4,1.0,303.93
token size of models over time,26,2,0.077,10.44,1,www.google.com,2,1.0,564.52
sq 183,8,2,0.25,43.63,1,www.google.com,2,1.0,8.7
voronoi diagram,6,2,0.333,32.65,1,docs.scipy.org,2,1.0,37.16
path:**/agents.md,90,0,0.0,0,0,,0,0.0,0
repo:simonw/llm codex,78,0,0.0,0,0,,0,0.0,0
self organizing maps python,72,0,0.0,0,0,,0,0.0,0
is:pr author:google-labs-jules[bot],70,0,0.0,0,0,,0,0.0,0
"is:merged ""google-labs-jules[bot]""",60,0,0.0,0,0,,0,0.0,0
org:sanand0 jules,50,0,0.0,0,0,,0,0.0,0
owner:sanand0 codex,50,0,0.0,0,0,,0,0.0,0
repo:openai/openai-agents-js human-in-the-loop,42,0,0.0,0,0,,0,0.0,0
apply_patch openai,40,0,0.0,0,0,,0,0.0,0
owner:sanand0 defuddle,40,0,0.0,0,0,,0,0.0,0
repo:docsifyjs/docsify marked,40,0,0.0,0,0,,0,0.0,0
repo:docsifyjs/docsify marked.us,40,0,0.0,0,0,,0,0.0,0
repo:elder-plinius/cl4r1t4s 2025,40,0,0.0,0,0,,0,0.0,0
repo:markedjs/marked marked(): input parameter is undefined,40,0,0.0,0,0,,0,0.0,0
repo:marp-team/marpit target blank,40,0,0.0,0,0,,0,0.0,0
repo:simonw/llm-openai-plugin gpt-5,40,0,0.0,0,0,,0,0.0,0
path:**/claude.md,36,0,0.0,0,0,,0,0.0,0
is:pr head:codex/,32,0,0.0,0,0,,0,0.0,0
is:pr head:codex/ is:merged,30,0,0.0,0,0,,0,0.0,0
"is:pr is:merged ""google-labs-jules[bot]""",30,0,0.0,0,0,,0,0.0,0
label:codex,30,0,0.0,0,0,,0,0.0,0
repo:marp-team/marpit link window,30,0,0.0,0,0,,0,0.0,0
repo:openai/codex no-project-doc,30,0,0.0,0,0,,0,0.0,0
repo:github/copilot-cli copilot_model,24,0,0.0,0,0,,0,0.0,0
repo:openai/codex codex_disable_global_doc,24,0,0.0,0,0,,0,0.0,0
repo:openai/codex slashcommands,24,0,0.0,0,0,,0,0.0,0
repo:openai/openai-agents-js modelsettings,24,0,0.0,0,0,,0,0.0,0
repo:pydantic/genai-prices extract_usage,24,0,0.0,0,0,,0,0.0,0
repo:pydantic/genai-prices extractors,24,0,0.0,0,0,,0,0.0,0
repo:pydantic/genai-prices prompt_tokens,24,0,0.0,0,0,,0,0.0,0
