feature,reason,path,session_timestamp
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/08/12/rollout-2025-08-12T20-56-40-08a5a2fd-f0b5-4405-9132-32fb9ab08678.jsonl,2025-08-12T20:56:40.046Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/13/rollout-2025-08-13T11-54-27-b6c1e702-5bf7-4c69-8eb2-f0257b4790ca.jsonl,2025-08-13T11:54:27.893Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/13/rollout-2025-08-13T15-32-06-6875fcd9-fc18-4cb4-981a-29624267f596.jsonl,2025-08-13T15:32:06.899Z
image input/view_image,Task appears image/UI-heavy with no image tool usage.,sessions/2025/08/13/rollout-2025-08-13T15-32-06-6875fcd9-fc18-4cb4-981a-29624267f596.jsonl,2025-08-13T15:32:06.899Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/13/rollout-2025-08-13T17-44-01-1acfe0cf-6c91-4e1c-bbb5-d31cc3c5c187.jsonl,2025-08-13T17:44:01.561Z
image input/view_image,Task appears image/UI-heavy with no image tool usage.,sessions/2025/08/15/rollout-2025-08-15T09-33-20-67136abe-6ec8-42aa-b0d2-da5dcd9b890b.jsonl,2025-08-15T09:33:20.139Z
image input/view_image,Task appears image/UI-heavy with no image tool usage.,sessions/2025/08/15/rollout-2025-08-15T09-55-22-0d4a5881-f30a-471f-833f-774e829039d7.jsonl,2025-08-15T09:55:22.328Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/15/rollout-2025-08-15T14-46-23-d8dbe3fe-d43b-4f5b-b7b6-553cb6f923f0.jsonl,2025-08-15T14:46:23.038Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/17/rollout-2025-08-17T07-20-12-49ba08ff-1282-46c5-8796-62d37d1019bb.jsonl,2025-08-17T07:20:12.405Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/17/rollout-2025-08-17T09-19-34-75ddfc35-566d-414c-85bb-26ea38befe08.jsonl,2025-08-17T09:19:34.262Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/17/rollout-2025-08-17T09-22-10-d0386b5a-6d27-4795-8b09-54aaa13bc62c.jsonl,2025-08-17T09:22:10.061Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/08/17/rollout-2025-08-17T09-22-10-d0386b5a-6d27-4795-8b09-54aaa13bc62c.jsonl,2025-08-17T09:22:10.061Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/18/rollout-2025-08-18T13-28-50-0cfd1294-972b-477f-9365-cc98eaf079a4.jsonl,2025-08-18T13:28:50.544Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/08/18/rollout-2025-08-18T13-28-50-0cfd1294-972b-477f-9365-cc98eaf079a4.jsonl,2025-08-18T13:28:50.544Z
image input/view_image,Task appears image/UI-heavy with no image tool usage.,sessions/2025/08/18/rollout-2025-08-18T13-28-50-0cfd1294-972b-477f-9365-cc98eaf079a4.jsonl,2025-08-18T13:28:50.544Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/08/18/rollout-2025-08-18T13-28-50-0cfd1294-972b-477f-9365-cc98eaf079a4.jsonl,2025-08-18T13:28:50.544Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/19/rollout-2025-08-19T13-18-00-4775d1f1-ed95-43ba-9b72-56ac36c29baa.jsonl,2025-08-19T13:18:00.278Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/19/rollout-2025-08-19T13-38-13-f3ae9645-5545-416e-be0c-776209c9a7ca.jsonl,2025-08-19T13:38:13.766Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/08/19/rollout-2025-08-19T13-38-13-f3ae9645-5545-416e-be0c-776209c9a7ca.jsonl,2025-08-19T13:38:13.766Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/19/rollout-2025-08-19T13-45-34-7ab98b8b-3280-493f-bfc3-5db5f6e115e3.jsonl,2025-08-19T13:45:34.128Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/08/19/rollout-2025-08-19T13-45-34-7ab98b8b-3280-493f-bfc3-5db5f6e115e3.jsonl,2025-08-19T13:45:34.128Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/08/19/rollout-2025-08-19T13-45-34-7ab98b8b-3280-493f-bfc3-5db5f6e115e3.jsonl,2025-08-19T13:45:34.128Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/19/rollout-2025-08-19T14-03-22-fbf129f8-5b04-471a-8308-93a829ba9f52.jsonl,2025-08-19T14:03:22.623Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/19/rollout-2025-08-19T15-07-57-7f796d9d-c40e-408c-8a46-b118348620b5.jsonl,2025-08-19T15:07:57.706Z
apply_patch,Multiple shell-based file edits where structured patching could reduce risk.,sessions/2025/08/19/rollout-2025-08-19T15-07-57-7f796d9d-c40e-408c-8a46-b118348620b5.jsonl,2025-08-19T15:07:57.706Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/21/rollout-2025-08-21T11-35-46-ade56442-abff-48ec-b337-4b716fc3ab2c.jsonl,2025-08-21T11:35:46.713Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/21/rollout-2025-08-21T11-46-20-0a14e878-27ad-4ea1-b3c3-1cad096cddc5.jsonl,2025-08-21T11:46:20.916Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/08/21/rollout-2025-08-21T11-46-20-0a14e878-27ad-4ea1-b3c3-1cad096cddc5.jsonl,2025-08-21T11:46:20.916Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/21/rollout-2025-08-21T12-12-37-b6467772-8080-4f07-abbb-ec9d0ea49ae4.jsonl,2025-08-21T12:12:37.679Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/08/21/rollout-2025-08-21T12-12-37-b6467772-8080-4f07-abbb-ec9d0ea49ae4.jsonl,2025-08-21T12:12:37.679Z
image input/view_image,Task appears image/UI-heavy with no image tool usage.,sessions/2025/08/21/rollout-2025-08-21T12-12-37-b6467772-8080-4f07-abbb-ec9d0ea49ae4.jsonl,2025-08-21T12:12:37.679Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/21/rollout-2025-08-21T12-35-41-4d7db00d-c2d3-478b-a0ae-4d49e27f69c9.jsonl,2025-08-21T12:35:41.015Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/08/21/rollout-2025-08-21T12-35-41-4d7db00d-c2d3-478b-a0ae-4d49e27f69c9.jsonl,2025-08-21T12:35:41.015Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/24/rollout-2025-08-24T09-47-00-baa226c3-0e1d-44b5-a467-bec93b08654c.jsonl,2025-08-24T09:47:00.771Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/08/24/rollout-2025-08-24T09-47-00-baa226c3-0e1d-44b5-a467-bec93b08654c.jsonl,2025-08-24T09:47:00.771Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/08/24/rollout-2025-08-24T09-47-00-baa226c3-0e1d-44b5-a467-bec93b08654c.jsonl,2025-08-24T09:47:00.771Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/26/rollout-2025-08-26T08-26-55-7c9eeb91-0b72-4647-a3c3-c713bdacf8f1.jsonl,2025-08-26T08:26:55.069Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/26/rollout-2025-08-26T09-55-58-78764521-91e7-4772-84fe-10e2a419226a.jsonl,2025-08-26T09:55:58.713Z
spawn_agents_on_csv / sub-agents,Batch-like task with high call volume and no fan-out delegation.,sessions/2025/08/26/rollout-2025-08-26T09-55-58-78764521-91e7-4772-84fe-10e2a419226a.jsonl,2025-08-26T09:55:58.713Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/26/rollout-2025-08-26T10-48-25-c42db016-0383-4985-a9a6-08fe400dd46f.jsonl,2025-08-26T10:48:25.166Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/08/26/rollout-2025-08-26T10-48-25-c42db016-0383-4985-a9a6-08fe400dd46f.jsonl,2025-08-26T10:48:25.166Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/08/26/rollout-2025-08-26T10-48-25-c42db016-0383-4985-a9a6-08fe400dd46f.jsonl,2025-08-26T10:48:25.166Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/26/rollout-2025-08-26T15-49-37-06154668-c0dd-4cd7-8f43-bfc568311ae9.jsonl,2025-08-26T15:49:37.874Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/28/rollout-2025-08-28T21-27-25-26533c03-ce95-4268-952e-138c361db4bd.jsonl,2025-08-28T21:27:25.375Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/29/rollout-2025-08-29T14-28-55-5765d8fe-ab23-4112-ab05-1edaa1cca005.jsonl,2025-08-29T14:28:55.931Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/08/29/rollout-2025-08-29T14-28-55-5765d8fe-ab23-4112-ab05-1edaa1cca005.jsonl,2025-08-29T14:28:55.931Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/08/29/rollout-2025-08-29T15-10-10-c842f218-fd08-40d6-8f31-e0942555d61c.jsonl,2025-08-29T15:10:10.363Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/01/rollout-2025-09-01T07-19-20-324037a6-37bc-4bc4-84d7-160e6fb7e4cf.jsonl,2025-09-01T07:19:20.642Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/01/rollout-2025-09-01T07-19-20-324037a6-37bc-4bc4-84d7-160e6fb7e4cf.jsonl,2025-09-01T07:19:20.642Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/01/rollout-2025-09-01T07-39-52-96573d4f-38f6-4952-9a07-1bdd045438bc.jsonl,2025-09-01T07:39:52.236Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/01/rollout-2025-09-01T07-39-52-96573d4f-38f6-4952-9a07-1bdd045438bc.jsonl,2025-09-01T07:39:52.236Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/01/rollout-2025-09-01T07-39-52-96573d4f-38f6-4952-9a07-1bdd045438bc.jsonl,2025-09-01T07:39:52.236Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/01/rollout-2025-09-01T08-04-22-ae010007-5bf7-432c-9c67-7bf6248303f4.jsonl,2025-09-01T08:04:22.262Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/01/rollout-2025-09-01T08-28-53-c8df081f-48b5-4e64-ab68-c4c01a7d947d.jsonl,2025-09-01T08:28:53.856Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/01/rollout-2025-09-01T08-28-53-c8df081f-48b5-4e64-ab68-c4c01a7d947d.jsonl,2025-09-01T08:28:53.856Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/01/rollout-2025-09-01T09-13-19-bcc7c8f9-037b-49a0-afb2-da4fd972983c.jsonl,2025-09-01T09:13:19.567Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/01/rollout-2025-09-01T09-34-25-d16c9095-91f9-4103-acb8-1c5c365b25e9.jsonl,2025-09-01T09:34:25.216Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/01/rollout-2025-09-01T11-01-15-23a6561d-9d03-4839-9429-b02c5792d6dc.jsonl,2025-09-01T11:01:15.545Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/01/rollout-2025-09-01T20-51-49-df06d712-c4e0-458c-b809-d8143b98bb7f.jsonl,2025-09-01T20:51:49.543Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/01/rollout-2025-09-01T22-49-25-401026e9-0c6f-4784-af9d-8ec59ad1b8b5.jsonl,2025-09-01T22:49:25.486Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/02/rollout-2025-09-02T11-34-44-4205fb03-7d4d-4a42-997f-002e70f2469b.jsonl,2025-09-02T11:34:44.024Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/02/rollout-2025-09-02T11-34-44-4205fb03-7d4d-4a42-997f-002e70f2469b.jsonl,2025-09-02T11:34:44.024Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/02/rollout-2025-09-02T12-10-47-0088c20c-af5e-4493-b224-668e10e376bf.jsonl,2025-09-02T12:10:47.336Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/02/rollout-2025-09-02T15-25-19-3e100989-573f-4478-9619-bcb196dfc5c1.jsonl,2025-09-02T15:25:19.953Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/02/rollout-2025-09-02T15-25-19-3e100989-573f-4478-9619-bcb196dfc5c1.jsonl,2025-09-02T15:25:19.953Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/02/rollout-2025-09-02T15-40-33-503b3008-044d-4ba0-bbb2-4682b4531763.jsonl,2025-09-02T15:40:33.798Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/02/rollout-2025-09-02T15-40-33-503b3008-044d-4ba0-bbb2-4682b4531763.jsonl,2025-09-02T15:40:33.798Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/02/rollout-2025-09-02T15-55-03-3f035737-966c-4909-9eb4-9e7a45881a96.jsonl,2025-09-02T15:55:03.806Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/02/rollout-2025-09-02T19-21-57-ac717d0b-953d-4565-9ec2-b266b0d70309.jsonl,2025-09-02T19:21:57.510Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/02/rollout-2025-09-02T19-21-57-ac717d0b-953d-4565-9ec2-b266b0d70309.jsonl,2025-09-02T19:21:57.510Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/02/rollout-2025-09-02T22-35-54-657a5815-9a37-437c-b382-ddde0e193e39.jsonl,2025-09-02T22:35:54.785Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/02/rollout-2025-09-02T22-37-25-dfc47ba9-8985-49ed-9b0f-fffc0f594dca.jsonl,2025-09-02T22:37:25.195Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/02/rollout-2025-09-02T22-58-53-b5290c52-6a79-412d-8678-516ac73ffb7f.jsonl,2025-09-02T22:58:53.686Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/03/rollout-2025-09-03T11-21-51-404e4393-cf51-447b-9f26-db81299732fc.jsonl,2025-09-03T11:21:51.546Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/03/rollout-2025-09-03T11-29-46-565e73d4-9fef-492d-8215-96a3150bd5d3.jsonl,2025-09-03T11:29:46.487Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/03/rollout-2025-09-03T15-24-40-df308f8b-675a-4876-aa03-4223133299e6.jsonl,2025-09-03T15:24:40.824Z
image input/view_image,Task appears image/UI-heavy with no image tool usage.,sessions/2025/09/03/rollout-2025-09-03T15-53-44-3a4d51c4-b0a4-4523-a273-437d721ce7fe.jsonl,2025-09-03T15:53:44.139Z
image input/view_image,Task appears image/UI-heavy with no image tool usage.,sessions/2025/09/03/rollout-2025-09-03T15-54-50-91f2e281-b682-4a37-9098-16d33368b991.jsonl,2025-09-03T15:54:50.681Z
image input/view_image,Task appears image/UI-heavy with no image tool usage.,sessions/2025/09/03/rollout-2025-09-03T15-56-31-b1071c11-6a72-4513-9916-93347e11c1bd.jsonl,2025-09-03T15:56:31.125Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/03/rollout-2025-09-03T19-04-48-ec105284-da27-481f-8982-872be27be36a.jsonl,2025-09-03T19:04:48.292Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/04/rollout-2025-09-04T13-50-31-67a45b44-d8dc-42ee-9249-9c234aa47eb6.jsonl,2025-09-04T13:50:31.690Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/04/rollout-2025-09-04T13-50-31-67a45b44-d8dc-42ee-9249-9c234aa47eb6.jsonl,2025-09-04T13:50:31.690Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/04/rollout-2025-09-04T18-11-29-e1185958-8855-4f0a-879c-6d5812e12d8f.jsonl,2025-09-04T18:11:29.354Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/05/rollout-2025-09-05T09-02-21-5d4f4df7-a1f2-4db4-873e-cb56422ae5a4.jsonl,2025-09-05T09:02:21.639Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/05/rollout-2025-09-05T09-16-59-e3cbef3b-a205-4be4-a6d2-4b7d948d098f.jsonl,2025-09-05T09:16:59.087Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/05/rollout-2025-09-05T09-16-59-e3cbef3b-a205-4be4-a6d2-4b7d948d098f.jsonl,2025-09-05T09:16:59.087Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/05/rollout-2025-09-05T15-59-56-c9e266ed-9f0e-47c0-b2b8-26df7dda5341.jsonl,2025-09-05T15:59:56.299Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/05/rollout-2025-09-05T19-18-52-670bc88b-c6f9-4605-bc85-a009c8f26aac.jsonl,2025-09-05T19:18:52.963Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/06/rollout-2025-09-06T07-44-37-3141e844-8dd3-47a3-99bc-c74004695495.jsonl,2025-09-06T07:44:37.301Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/06/rollout-2025-09-06T09-24-11-f37a9ad1-2e6b-4582-a31d-4e938604d0bf.jsonl,2025-09-06T09:24:11.752Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/06/rollout-2025-09-06T09-24-11-f37a9ad1-2e6b-4582-a31d-4e938604d0bf.jsonl,2025-09-06T09:24:11.752Z
apply_patch,Multiple shell-based file edits where structured patching could reduce risk.,sessions/2025/09/06/rollout-2025-09-06T15-37-44-629346e5-d146-4240-ad80-28f3e4a34e07.jsonl,2025-09-06T15:37:44.125Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/06/rollout-2025-09-06T15-53-13-ba38305c-de5a-4638-8e96-8e70e14e4341.jsonl,2025-09-06T15:53:13.433Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/06/rollout-2025-09-06T15-53-13-ba38305c-de5a-4638-8e96-8e70e14e4341.jsonl,2025-09-06T15:53:13.433Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/06/rollout-2025-09-06T16-16-27-b8787904-a4bb-4083-b4b4-0bb0957c0dcf.jsonl,2025-09-06T16:16:27.223Z
spawn_agents_on_csv / sub-agents,Batch-like task with high call volume and no fan-out delegation.,sessions/2025/09/06/rollout-2025-09-06T16-16-27-b8787904-a4bb-4083-b4b4-0bb0957c0dcf.jsonl,2025-09-06T16:16:27.223Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/06/rollout-2025-09-06T18-08-58-48a9dd46-1bec-476f-8c66-166837b46649.jsonl,2025-09-06T18:08:58.658Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/06/rollout-2025-09-06T18-25-38-348d8b08-08a7-46f4-a88f-202e08631a1c.jsonl,2025-09-06T18:25:38.382Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/06/rollout-2025-09-06T18-39-48-8f737a7d-de75-4364-82e8-c7f30b2ae9f0.jsonl,2025-09-06T18:39:48.360Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/06/rollout-2025-09-06T19-48-37-60514297-6df0-46dc-aaec-990a28b7b4c9.jsonl,2025-09-06T19:48:37.401Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/06/rollout-2025-09-06T23-27-16-e690c726-369e-419b-a184-2c6f589412bb.jsonl,2025-09-06T23:27:16.383Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/07/rollout-2025-09-07T12-21-53-baa525d0-08ce-4b9d-8efa-162cb9464c6a.jsonl,2025-09-07T12:21:53.258Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/07/rollout-2025-09-07T14-09-10-030cdf69-a43d-4f7c-8109-7d7b92067ee9.jsonl,2025-09-07T14:09:10.703Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/07/rollout-2025-09-07T14-49-06-cd716422-2521-47e9-8cb4-9c82d94f3eb9.jsonl,2025-09-07T14:49:06.190Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/07/rollout-2025-09-07T14-49-06-cd716422-2521-47e9-8cb4-9c82d94f3eb9.jsonl,2025-09-07T14:49:06.190Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/07/rollout-2025-09-07T14-49-06-cd716422-2521-47e9-8cb4-9c82d94f3eb9.jsonl,2025-09-07T14:49:06.190Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/07/rollout-2025-09-07T17-45-11-12380c7a-edf7-4f52-a493-26069c7caed0.jsonl,2025-09-07T17:45:11.474Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/08/rollout-2025-09-08T13-35-54-f7e001eb-955c-44c9-9502-71848be0259b.jsonl,2025-09-08T13:35:54.354Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/08/rollout-2025-09-08T13-35-54-f7e001eb-955c-44c9-9502-71848be0259b.jsonl,2025-09-08T13:35:54.354Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/08/rollout-2025-09-08T13-54-59-e04becce-d387-4908-bd89-c9d5aab1aaa1.jsonl,2025-09-08T13:54:59.015Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/08/rollout-2025-09-08T13-54-59-e04becce-d387-4908-bd89-c9d5aab1aaa1.jsonl,2025-09-08T13:54:59.015Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/08/rollout-2025-09-08T15-58-16-385a5b07-4dd1-48a8-8d00-326618d2eea7.jsonl,2025-09-08T15:58:16.879Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/08/rollout-2025-09-08T17-26-20-3d0b034e-ad12-4135-babc-060108653965.jsonl,2025-09-08T17:26:20.236Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/08/rollout-2025-09-08T22-48-18-f311348c-6330-4326-b976-29ffb2c1eaa4.jsonl,2025-09-08T22:48:18.973Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/09/rollout-2025-09-09T13-42-21-2c51ef48-61d5-497c-b506-6e654da0902b.jsonl,2025-09-09T05:42:21.326Z
request_user_input,Repeated permission/approval friction without explicit user choice collection.,sessions/2025/09/09/rollout-2025-09-09T13-42-21-2c51ef48-61d5-497c-b506-6e654da0902b.jsonl,2025-09-09T05:42:21.326Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/09/rollout-2025-09-09T16-06-30-5c13ab30-2253-4c1f-ac30-a195347fef61.jsonl,2025-09-09T16:06:30.066Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/10/rollout-2025-09-10T08-17-46-b76ebf26-c518-402b-bf0c-386f3892fec5.jsonl,2025-09-10T08:17:46.430Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/10/rollout-2025-09-10T08-17-46-b76ebf26-c518-402b-bf0c-386f3892fec5.jsonl,2025-09-10T08:17:46.430Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/10/rollout-2025-09-10T09-11-31-93aaea5f-29cb-4ffb-af98-b2c46a408356.jsonl,2025-09-10T09:11:31.390Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/10/rollout-2025-09-10T12-57-26-9f6415cc-193d-4dfd-b708-b4fb21f11c63.jsonl,2025-09-10T04:57:26.126Z
parallel tool calls,Session performs repeated sequential read-only shell calls.,sessions/2025/09/10/rollout-2025-09-10T14-08-37-59b61997-364f-46ee-9547-6e216c3a5484.jsonl,2025-09-10T06:08:37.197Z
planning mode / update_plan,High tool-call complexity with no explicit plan tracking.,sessions/2025/09/10/rollout-2025-09-10T14-08-37-59b61997-364f-46ee-9547-6e216c3a5484.jsonl,2025-09-10T06:08:37.197Z
