song,metric,source,amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness
song_7,std,emotify,0.3222,0.4556,0.4556,0.4991,0.4991,0.0,0.0,0.3222,0.4991
song_7,std,diff,0.059,-0.0314,0.0366,-0.0212,-0.1179,0.2353,0.3222,-0.0869,-0.0435
song_8,std,gemini,0.3727,0.4157,0.4969,0.5,0.4714,0.2291,0.2291,0.0,0.4479
song_8,std,emotify,0.4157,0.4875,0.2291,0.5,0.4969,0.2291,0.0,0.3727,0.4479
song_8,std,diff,-0.043,-0.0718,0.2678,0.0,-0.0255,0.0,0.2291,-0.3727,0.0
song_9,std,gemini,0.4242,0.2353,0.3812,0.4556,0.3221,0.4556,0.3812,0.3221,0.2353
song_9,std,emotify,0.4242,0.4779,0.2353,0.4242,0.4556,0.3222,0.4779,0.2353,0.0
song_9,std,diff,0.0,-0.2426,0.1459,0.0314,-0.1335,0.1334,-0.0967,0.0868,0.2353
song_10,std,gemini,0.4556,0.4242,0.3812,0.3222,0.3222,0.4779,0.4242,0.3812,0.0
song_10,std,emotify,0.4242,0.4556,0.0,0.0,0.3222,0.3222,0.4779,0.4779,0.0
song_10,std,diff,0.0314,-0.0314,0.3812,0.3222,0.0,0.1557,-0.0537,-0.0967,0.0
song_11,std,gemini,0.4737,0.325,0.2713,0.347,0.196,0.4936,0.449,0.2375,0.14
song_11,std,emotify,0.325,0.347,0.0,0.14,0.3666,0.4583,0.4854,0.48,0.2375
song_11,std,diff,0.1487,-0.022,0.2713,0.207,-0.1706,0.0353,-0.0364,-0.2425,-0.0975
song_12,std,gemini,0.34,0.4297,0.4989,0.4939,0.4939,0.206,0.1474,0.2494,0.4787
song_12,std,emotify,0.3143,0.4848,0.2846,0.3624,0.4714,0.4714,0.2061,0.4969,0.3399
song_12,std,diff,0.0257,-0.0551,0.2143,0.1315,0.0225,-0.2654,-0.0587,-0.2475,0.1388
song_13,std,gemini,0.3615,0.419,0.4997,0.4998,0.4896,0.291,0.2312,0.1763,0.4756
song_13,std,emotify,0.4714,0.2619,0.3552,0.3884,0.4829,0.3143,0.3884,0.3884,0.2619
song_13,std,diff,-0.1099,0.1571,0.1445,0.1114,0.0067,-0.0233,-0.1572,-0.2121,0.2137
song_14,std,gemini,0.4979,0.481,0.3857,0.4453,0.481,0.4453,0.481,0.4979,0.4453
song_14,std,emotify,0.2875,0.2875,0.0,0.2875,0.3857,0.4979,0.4979,0.481,0.4454
song_14,std,diff,0.2104,0.1935,0.3857,0.1578,0.0953,-0.0526,-0.0169,0.0169,-0.0001
song_15,std,gemini,0.3857,0.2875,0.4454,0.3857,0.481,0.4454,0.4979,0.2875,0.2875
song_15,std,emotify,0.2875,0.481,0.0,0.2875,0.481,0.0,0.0,0.481,0.0
song_15,std,diff,0.0982,-0.1935,0.4454,0.0982,0.0,0.4454,0.4979,-0.1935,0.2875
song_16,std,gemini,0.385,0.315,0.282,0.254,0.205,0.475,0.461,0.342,0.219
song_16,std,emotify,0.0,0.3727,0.2764,0.0,0.0,0.5,0.493,0.5,0.0
song_16,std,diff,0.385,-0.0577,0.0056,0.254,0.205,-0.025,-0.032,-0.158,0.219
song_17,std,gemini,0.4454,0.2875,0.3857,0.2875,0.2875,0.4979,0.481,0.2875,0.0
song_17,std,emotify,0.481,0.481,0.2875,0.2875,0.0,0.481,0.2875,0.3857,0.2875
song_17,std,diff,-0.0356,-0.1935,0.0982,0.0,0.2875,0.0169,0.1935,-0.0982,-0.2875
song_18,std,gemini,0.4454,0.3857,0.481,0.4454,0.3857,0.4979,0.481,0.2875,0.2875
song_18,std,emotify,0.2875,0.3857,0.3857,0.4454,0.4454,0.0,0.2875,0.2875,0.2875
song_18,std,diff,0.1579,0.0,0.0953,0.0,-0.0597,0.4979,0.1935,0.0,0.0
song_19,std,gemini,0.4454,0.2875,0.3857,0.3857,0.0,0.4979,0.4454,0.2875,0.0
song_19,std,emotify,0.2875,0.481,0.0,0.4454,0.4454,0.4454,0.3857,0.481,0.0
song_19,std,diff,0.1579,-0.1935,0.3857,-0.0597,-0.4454,0.0525,0.0597,-0.1935,0.0
song_20,std,gemini,0.3857,0.4454,0.481,0.4979,0.4454,0.2875,0.2875,0.0,0.3857
song_20,std,emotify,0.2875,0.3857,0.0,0.4454,0.4979,0.4979,0.481,0.481,0.0
song_20,std,diff,0.0982,0.0597,0.481,0.0525,-0.0525,-0.2104,-0.1935,-0.481,0.3857
song_21,std,gemini,0.4736,0.4505,0.4055,0.4505,0.358,0.2311,0.2923,0.1905,0.4847
song_21,std,emotify,0.4303,0.1361,0.4927,0.4891,0.4505,0.1906,0.4668,0.3386,0.2923
song_21,std,diff,0.0433,0.3144,-0.0872,-0.0386,-0.0925,0.0405,-0.1745,-0.1481,0.1924
song_22,std,gemini,0.3249,0.2713,0.3571,0.4975,0.4583,0.3,0.433,0.2179,0.4
song_22,std,emotify,0.3399,0.2061,0.4848,0.4989,0.4532,0.0,0.3143,0.2061,0.4422
song_22,std,diff,-0.015,0.0652,-0.1277,-0.0014,0.0051,0.3,0.1187,0.0118,-0.0422
song_23,std,gemini,0.3153,0.3746,0.4189,0.3746,0.4956,0.3153,0.2294,0.2294,0.3153
song_23,std,emotify,0.3069,0.4937,0.4077,0.4403,0.4993,0.3069,0.2233,0.3069,0.4403
song_23,std,diff,0.0084,-0.1191,0.0112,-0.0657,-0.0037,0.0084,0.0061,-0.0775,-0.125
song_24,std,gemini,0.433,0.3727,0.3727,0.4714,0.2764,0.5,0.4714,0.2764,0.2764
song_24,std,emotify,0.433,0.2764,0.493,0.4714,0.493,0.0,0.3727,0.2764,0.2764
song_24,std,diff,0.0,0.0963,-0.1203,0.0,-0.2166,0.5,0.0987,0.0,0.0
song_25,std,gemini,0.433,0.4545,0.4841,0.4545,0.4061,0.2764,0.3307,0.1999,0.4061
song_25,std,emotify,0.2764,0.5,0.2764,0.0,0.493,0.3727,0.2764,0.493,0.2764
song_25,std,diff,0.1566,-0.0455,0.2077,0.4545,-0.0869,-0.0963,0.0543,-0.2931,0.1297
song_26,std,gemini,0.4714,0.4714,0.433,0.493,0.493,0.433,0.2764,0.0,0.4714
song_26,std,emotify,0.2764,0.0,0.493,0.5,0.493,0.0,0.0,0.0,0.433
song_26,std,diff,0.195,0.4714,-0.06,-0.007,0.0,0.433,0.2764,0.0,0.0384
song_27,std,gemini,0.3727,0.2764,0.3727,0.2764,0.2764,0.493,0.4714,0.2764,0.0
song_27,std,emotify,0.3727,0.493,0.3727,0.0,0.493,0.0,0.2764,0.5,0.4714
song_27,std,diff,0.0,-0.2166,0.0,0.2764,-0.2166,0.493,0.195,-0.2236,-0.4714
song_28,std,gemini,0.35,0.4518,0.4987,0.4518,0.4791,0.2575,0.1856,0.3093,0.4949
song_28,std,emotify,0.1856,0.1856,0.2575,0.3093,0.4103,0.0,0.0,0.0,0.3499
song_28,std,diff,0.1644,0.2662,0.2412,0.1425,0.0688,0.2575,0.1856,0.3093,0.145
song_29,std,gemini,0.433,0.4714,0.433,0.4714,0.493,0.3727,0.2764,0.2764,0.5
song_29,std,emotify,0.3727,0.3727,0.0,0.3727,0.2764,0.2764,0.4714,0.4714,0.433
song_29,std,diff,0.0603,0.0987,0.433,0.0987,0.2166,0.0963,-0.195,-0.195,0.067
song_30,std,gemini,0.4714,0.3727,0.2764,0.2764,0.0,0.493,0.433,0.433,0.0
song_30,std,emotify,0.3727,0.0,0.3727,0.493,0.2764,0.433,0.493,0.3727,0.2764
song_30,std,diff,0.0987,0.3727,-0.0963,-0.2166,-0.2764,0.06,-0.06,0.0603,-0.2764
song_31,std,gemini,0.3842,0.325,0.4271,0.3666,0.2713,0.4996,0.4665,0.347,0.2375
song_31,std,emotify,0.14,0.4386,0.3842,0.4583,0.3,0.4386,0.4,0.4271,0.4583
song_31,std,diff,0.2442,-0.1136,0.0429,-0.0917,-0.0287,0.061,0.0665,-0.0801,-0.2208
song_32,std,gemini,0.4934,0.3832,0.3146,0.2849,0.1474,0.5036,0.4934,0.4439,0.2062
song_32,std,emotify,0.2469,0.379,0.1458,0.3592,0.3113,0.4995,0.3368,0.4827,0.488
song_32,std,diff,0.2465,0.0042,0.1688,-0.0743,-0.1639,0.0041,0.1566,-0.0388,-0.2818
song_33,std,gemini,0.3608,0.3195,0.4615,0.4213,0.3941,0.4865,0.4941,0.1923,0.1923
song_33,std,emotify,0.3195,0.3608,0.3941,0.4757,0.3608,0.3941,0.3195,0.3195,0.3195
song_33,std,diff,0.0413,-0.0413,0.0674,-0.0544,0.0333,0.0924,0.1746,-0.1272,-0.1272
song_34,std,gemini,0.35,0.4518,0.4949,0.4791,0.4518,0.2575,0.0,0.2575,0.4949
song_34,std,emotify,0.4792,0.4949,0.0,0.2575,0.3499,0.4949,0.4103,0.4949,0.3499
song_34,std,diff,-0.1292,-0.0431,0.4949,0.2216,0.1019,-0.2374,-0.4103,-0.2374,0.145
song_35,std,gemini,0.4385,0.5064,0.4385,0.4804,0.3755,0.2774,0.2774,0.0,0.4804
song_35,std,emotify,0.4615,0.0,0.2665,0.4213,0.2665,0.4985,0.4865,0.4213,0.0
song_35,std,diff,-0.023,0.5064,0.172,0.0591,0.109,-0.2211,-0.2091,-0.4213,0.4804
song_36,std,gemini,0.4792,0.35,0.4103,0.35,0.2575,0.4518,0.4103,0.4103,0.0
song_36,std,emotify,0.3499,0.5,0.3499,0.4103,0.4518,0.3499,0.2575,0.4518,0.4103
song_36,std,diff,0.1293,-0.15,0.0604,-0.0603,-0.1943,0.1019,0.1528,-0.0415,-0.4103
song_37,std,gemini,0.4103,0.35,0.4791,0.4103,0.4518,0.0,0.0,0.2575,0.5
song_37,std,emotify,0.0,0.3499,0.4103,0.3499,0.3499,0.2575,0.4518,0.5,0.3499
song_37,std,diff,0.4103,0.0001,0.0688,0.0604,0.1019,-0.2575,-0.4518,-0.2425,0.1501
song_38,std,gemini,0.4865,0.4213,0.4616,0.3608,0.2665,0.4985,0.4616,0.3608,0.0
song_38,std,emotify,0.4213,0.3608,0.4865,0.4985,0.4615,0.0,0.2665,0.0,0.4615
song_38,std,diff,0.0652,0.0605,-0.0249,-0.1377,-0.195,0.4985,0.1951,0.3608,-0.4615
song_39,std,gemini,0.433,0.3571,0.4,0.3571,0.3,0.4975,0.4583,0.3,0.2179
song_39,std,emotify,0.3499,0.3499,0.3499,0.2575,0.4518,0.4518,0.2575,0.4518,0.4949
song_39,std,diff,0.0831,0.0072,0.0501,0.0996,-0.1518,0.0457,0.2008,-0.1518,-0.277
song_40,std,gemini,0.4353,0.3867,0.3307,0.2918,0.2006,0.424,0.3202,0.359,0.1733
song_40,std,emotify,0.0,0.3499,0.4949,0.4949,0.5,0.2575,0.0,0.3499,0.4949
song_40,std,diff,0.4353,0.0368,-0.1642,-0.2031,-0.2994,0.1665,0.3202,0.0091,-0.3216
