field,type,is_ascii,sum,min,max,range,sort_order,sortiness,min_length,max_length,sum_length,avg_length,stddev_length,variance_length,cv_length,mean,sem,geometric_mean,harmonic_mean,stddev,variance,cv,nullcount,max_precision,sparsity,mad,lower_outer_fence,lower_inner_fence,q1,q2_median,q3,iqr,upper_inner_fence,upper_outer_fence,skewness,cardinality,uniqueness_ratio,mode,mode_count,mode_occurrences,antimode,antimode_count,antimode_occurrences,percentiles
RetractionDate,String,true,,1/1/1970 0:00,9/9/2025 0:00,,Unsorted,0.4792,13,21,955757,13.9205,0.6366,0.4052,0.0457,,,,,,,,0,,0,,,,,,,,,,,6107,0.0889,6/16/2011 0:00,1,1275,*PREVIEW: 1/1/1975 0:00|1/1/1984 0:00|1/1/1992 0:00|1/1/1994 0:00|1/1/1995 0:00|1/1/2001 0:00|1/10/2...,1548,1,
RetractionDOI,String,true,,0.1016/j.cpcardiol.2025.103037,unavailable,,Unsorted,0.0795,0,62,1595877,23.2439,5.5166,30.4329,0.2373,,,,,,,,493,,0.0072,,,,,,,,,,,57984,0.8445,Unavailable,1,2707,*PREVIEW: 0.1016/j.cpcardiol.2025.103037|0.1111/iwj.70400|1 0.1007/s00170-025-15588-7|10.1001/archde...,57334,1,
RetractionPubMedID,Integer,,1025091261533,0,41604905,41604905,Unsorted,0.4816,,,,,,,,16140627.6418,68180.4448,0,,17182283.7355,295230874365856.625,106.4536,5148,,0.075,0,-106259439,-53129719.5,0,0,35419813,35419813,88549532.5,141679252,1,29328,0.4272,0,1,32418,*PREVIEW: 10026024|10066780|10068298|10075549|10094517|10095978|10206907|10215452|10299629|10328728,28798,1,0|0|0|26693524|38094810|39048392
OriginalPaperDate,String,true,,1/1/1753 12:00:00 AM,9/9/2024 0:00,,Unsorted,0.2042,13,20,949231,13.8255,0.6348,0.403,0.0459,,,,,,,,0,,0,,,,,,,,,,,7528,0.1096,5/6/2011 0:00,1,1282,*PREVIEW: 1/1/1753 12:00:00 AM|1/1/1923 0:00|1/1/1955 0:00|1/1/1962 0:00|1/1/1978 0:00|1/1/1983 0:00...,1727,1,
OriginalPaperDOI,String,true,,10.1001/archdermatol.2012.418,unavailable,,Unsorted,-0.0179,0,62,1540933,22.4436,6.6341,44.0111,0.2956,,,,,,,,2533,,0.0369,,,,,,,,,,,59945,0.8731,,1,2533,*PREVIEW: 10.1001/archdermatol.2012.418|10.1001/archinte.165.15.1737|10.1001/archinte.165.15.1743|10...,57685,1,
OriginalPaperPubMedID,Integer,,903659390587,0,41122107,41122107,Unsorted,0.4183,,,,,,,,14224360.3801,60666.8608,0,,15291057.8873,233816451312542.9688,107.4991,5129,,0.0747,0,-91686949.5,-45843474.75,0,0,30562316.5,30562316.5,76405791.25,122249266,1,29908,0.4356,0,1,31801,*PREVIEW: 10026173|10047653|1005586|10066663|10069277|10071922|10077615|10084103|10093011|10095977,28461,1,0|0|0|21826617|35510058|36124071
RetractionNature,String,true,,Correction,Retraction,,Unsorted,0.9236,10,21,725969,10.5737,2.4345,5.9267,0.2302,,,,,,,,0,,0,,,,,,,,,,,4,0.0001,Retraction,1,63520,Reinstatement,1,157,
Reason,String,true,,Author Unresponsive;,Withdrawn to Publish in Different Journal;,,Unsorted,0.4107,8,511,8450270,123.0777,95.6311,9145.308,0.777,,,,,,,,0,,0,,,,,,,,,,,10620,0.1547,Notice - Limited or No Information;,1,4451,*PREVIEW: Author Unresponsive;Bias Issues or Lack of Balance;Concerns/Issues about Authorship/Affili...,7501,1,
Paywalled,String,true,,No,Yes,,Unsorted,0.9686,2,7,140086,2.0403,0.3238,0.1048,0.1587,,,,,,,,0,,0,,,,,,,,,,,3,0,No,1,66796,Unknown,1,227,
Notes,String,false,,"'Dr. Walumbwa, a co-author on the ?ve respective articles, has requested that readers be informed that he was responsible for the analyses.'","“Agua Futura” Consortium includes: Claudia Carolina Cardoza Hernández, Karla Elisa Gómez Mejía, Thania Katerene González Nolasco, Jacqueline Lissette Flores, Lidia Esperanza Flores López, Jesica Jasmín López Villalta, Yesenia Beatriz Martínez de Guzmán, Yesenia Ivette Flores Martínez, Erika Vanessa Martínez Sánchez, Floridalma Mayorga de Ramos, Ana Catalina Mejía de Guardado, María del Carmen Merino de Lozan, Julia Susana Monge Tobar, Carolina Monserratt Jiménez de Henríquez, Laura Sofía Moreno, Keila Albertina Peña Saravia, Ingrid Carolina Pineda de Ortega, Grissel Marcela Santos Gamero, Sonia Margarita Siciliano de Serpas, Tomás Siracides Juarez Contreras, Mónica Raquel Ventura de Ramos, Wendy Yamileth Gómez Menéndez, and Lennin Yasser Valle Bravo;",,Unsorted,0.2692,0,1318,1582606,23.0506,45.2985,2051.9542,1.9652,,,,,,,,49552,,0.7217,,,,,,,,,,,12112,0.1764,,1,49552,"*PREVIEW: 'Dr. Walumbwa, a co-author on the ?ve respective articles, has requested that readers be i...",11358,1,
